month,date,open,high,low,close,volume,shares_bought,total_shares,total_invested,portfolio_value
2004-12,2004-12-01,1340.916,1342.546,1332.967,1334.944,955342900,0.749095093127502,248.00920734930142,169000,331078.40329570585
2005-01,2005-01-04,1260.782,1260.782,1238.179,1242.774,816177000,0.8046515295620926,248.8138588788635,170000,309219.39465432067
2005-02,2005-02-01,1189.501,1203.066,1187.26,1188.931,934022200,0.8410917033873286,249.65495058225082,171000,296822.51005070604
2005-03,2005-03-01,1305.249,1308.758,1295.642,1303.412,1398095200,0.7672171193759149,250.42216770162673,172000,326403.2584483127
2005-04,2005-04-01,1180.373,1237.8,1173.543,1223.566,1966033200,0.8172832523950485,251.23945095402178,173000,307408.0500460086
2005-05,2005-05-09,1160.62,1165.39,1130.411,1130.835,1086935000,0.8843023075868717,252.12375326160864,174000,285110.3645195912
2005-06,2005-06-01,1059.61,1063.518,1035.706,1039.187,1006249000,0.9622907137983828,253.08604397540702,175000,263003.7267806713
2005-07,2005-07-01,1077.313,1077.313,1053.631,1055.594,1359781400,0.9473339181541388,254.03337789356115,176000,268156.1095041758
2005-08,2005-08-01,1082.796,1094.151,1081.118,1088.948,1473155100,0.9183174954175957,254.95169538897875,177000,277629.13879043766
2005-09,2005-09-01,1163.7,1185.76,1160.048,1184.933,3383047500,0.843929572389325,255.79562496136808,178000,303100.6772723488
2005-10,2005-10-10,1153.672,1153.672,1137.289,1138.95,1172006500,0.8780016682031696,256.67362662957123,179000,292338.4270497502
2005-11,2005-11-01,1091.677,1094.153,1074.298,1089.95,1398550100,0.917473278590761,257.591099908162,180000,280761.41934490117
2005-12,2005-12-01,1098.784,1104.563,1094.438,1098.747,893211900,0.9101276271971618,258.50122753535913,181000,284027.44825079327
2006-01,2006-01-04,1163.878,1181.004,1161.906,1180.963,2325854200,0.8467665794779345,259.3479941148371,182000,306280.38517384033
2006-02,2006-02-06,1263.003,1287.665,1263.003,1287.626,2917750700,0.7766230256301131,260.1246171404672,183000,334943.2202701112
2006-03,2006-03-01,1299.154,1308.196,1297.763,1306.586,2364067400,0.7653533713050652,260.8899705117723,184000,340875.1830110945
2006-04,2006-04-03,1298.684,1319.485,1298.684,1319.471,3280466900,0.7578794835202896,261.6478499952926,185000,345236.7502811387
2006-05,2006-05-08,1446.992,1497.202,1446.992,1497.104,5162065500,0.6679562675672498,262.31580626285984,186000,392714.04281935253
2006-06,2006-06-01,1639.673,1684.709,1635.746,1684.195,6784386400,0.5937554736832731,262.9095617365431,187000,442790.96932887717
2006-07,2006-07-03,1677.311,1697.83,1670.016,1697.282,4863659200,0.5891772846232978,263.4987390211664,188000,447231.6667633233
2006-08,2006-08-01,1619.635,1625.044,1596.658,1600.614,3231066000,0.6247602482547322,264.12349926942113,189000,422759.77065962524
2006-09,2006-09-01,1658.66,1660.518,1634.026,1636.691,3595457500,0.6109888793914062,264.73448814881255,190000,433288.55414276815
2006-10,2006-10-09,1768.144,1786.11,1763.111,1785.385,5293514300,0.5601032830453936,265.29459143185795,191000,473652.9841235677
2006-11,2006-11-01,1838.68,1855.887,1833.201,1855.713,4778352600,0.538876431862039,265.83346786372,192000,493310.6221497874
2006-12,2006-12-01,2106.295,2112.576,2087.601,2102.049,7617896400,0.47572630324031456,266.3091941669603,193000,559794.9752894647
2007-01,2007-01-04,2728.188,2847.615,2684.818,2715.719,12015602100,0.36822660960136155,266.6774207765617,194000,724220.9384739033
2007-02,2007-02-01,2744.814,2801.689,2706.291,2785.432,9344353100,0.3590107387292169,267.03643151529093,195000,743811.8215084998
2007-03,2007-03-01,2877.203,2878.355,2760.912,2797.19,12736486000,0.3575016355699827,267.3939331508609,196000,747951.6358702566
2007-04,2007-04-02,3196.587,3253.435,3196.587,3252.595,9735044600,0.3074468232288373,267.7013799740897,197000,870724.1699968243
2007-05,2007-05-08,3937.938,3964.714,3901.326,3950.011,16056820000,0.2531638519487667,267.9545438260385,198000,1058423.3956128343
2007-06,2007-06-01,4120.628,4181.28,3966.977,4000.742,16093498500,0.249953633600967,268.20449745963947,199000,1073016.997575673
2007-07,2007-07-02,3800.233,3859.861,3724.187,3836.294,7425406000,0.26066823866992467,268.4651656983094,200000,1029911.3043774302
2007-08,2007-08-01,4488.774,4502.296,4284.871,4300.563,12629287400,0.23252769462974962,268.6976933929392,201000,1155551.3583910188
2007-09,2007-09-03,5257.777,5327.538,5257.777,5321.055,12577964900,0.187932656211973,268.88562604915114,202000,1430755.204916966
2007-10,2007-10-08,5683.31,5729.963,5620.0,5692.755,9598308300,0.17566187197587108,269.061287921127,203000,1531699.9921194355
2007-11,2007-11-01,5978.939,6005.131,5912.502,5914.285,6488510300,0.16908214602441377,269.23037006715145,204000,1592305.139232603
2007-12,2007-12-03,4838.564,4899.667,4798.014,4868.611,5375077500,0.2053973915763654,269.4357674587278,205000,1311777.9412430043
2008-01,2008-01-02,5265.0,5295.016,5201.892,5272.814,7656660900,0.18965205296450813,269.6254195116923,206000,1421684.6867571245
2008-02,2008-02-01,4388.254,4411.704,4195.753,4320.767,5930714200,0.23144039009740633,269.85685990178973,207000,1165988.6149872763
2008-03,2008-03-03,4323.698,4456.963,4279.345,4438.265,7851384000,0.2253132699376896,270.08217317172745,208000,1198696.256312017
2008-04,2008-04-01,3461.085,3493.133,3308.902,3329.162,5483137600,0.3003758903892331,270.38254906211665,209000,900147.3078007343
2008-05,2008-05-05,3739.797,3768.216,3696.697,3761.009,9969691600,0.2658860959917937,270.64843515810844,210000,1017911.2004655623
2008-06,2008-06-02,3426.195,3483.61,3400.723,3459.044,4918607800,0.28909721876911654,270.9375323768776,211000,937184.8457430442
2008-07,2008-07-01,2743.164,2753.33,2644.776,2651.605,4068142300,0.37713007782079155,271.31466245469835,212000,719419.3155381904
2008-08,2008-08-01,2751.02,2830.764,2721.952,2801.817,4921541900,0.3569112472370608,271.6715737019354,213000,761174.0336148356
2008-09,2008-09-01,2380.468,2380.468,2311.727,2325.135,3626524000,0.4300825543463067,272.10165625628173,214000,632673.0845194496
2008-10,2008-10-06,2267.394,2267.394,2172.569,2173.738,6093813700,0.4600370421826366,272.5616932984644,215000,592477.7100672174
2008-11,2008-11-03,1713.763,1750.319,1702.981,1719.774,3585833200,0.5814717515208394,273.1431650499852,216000,469744.5135306732
2008-12,2008-12-01,1865.743,1895.756,1838.1,1894.615,8189035200,0.527811719003597,273.6709767689888,217000,518501.1376511777
2009-01,2009-01-05,1849.02,1880.716,1844.094,1880.716,6713671200,0.5317123903874907,274.2026891593763,218000,515697.38474506553
